name,team_key,number_of_moves,number_of_trades,clinched_playoffs,draft_grade,manager_nickname,division_id
Professor Teabag,390.l.99174.t.1,33,2,True,C+,Miccyd,2
Champ,390.l.99174.t.2,27,0,True,B,Simon Kim,2
Bottom Bitches,390.l.99174.t.3,31,2,False,B,Justin B,1
Hareem Kunt,390.l.99174.t.4,39,1,True,C,Paul Masini,2
Salmon Sisters,390.l.99174.t.5,40,4,True,B,Matt M,2
Hike School,390.l.99174.t.6,21,2,True,C,J Remedy,1
1503 Sequoia Trail,390.l.99174.t.7,26,0,False,A,Chris A,1
Burrito House,390.l.99174.t.8,42,1,False,B+,Greg A,1
Pepper Brooks,390.l.99174.t.9,37,1,False,B+,Sam,2
Bulgogi,390.l.99174.t.10,27,1,True,A-,Robert,1
